t,r,eps,h,z
121,0.0006826236,0.0006826236,0.0000078834,0.2431214761
122,-0.0039657704,-0.0039657704,0.0000075326,-1.4449613383
123,0.0011437683,0.0011437683,0.0000092775,0.3755115414
124,0.0019201031,0.0019201031,0.0000086029,0.6546401303
125,-0.0018084198,-0.0018084198,0.0000079336,-0.6420426236
126,-0.0009840246,-0.0009840246,0.0000084165,-0.3391886259
127,0.0026948649,0.0026948649,0.0000084879,0.9249906839
128,0.0019029066,0.0019029066,0.0000077927,0.6816692422
129,0.0002542547,0.0002542547,0.0000072736,0.0942742583
130,0.0000463074,0.0000463074,0.0000071173,0.0173577872
131,-0.0012505327,-0.0012505327,0.0000070374,-0.4713986966
132,0.0032827859,0.0032827859,0.0000073917,1.2074501890
133,-0.0001908852,-0.0001908852,0.0000069293,-0.0725149734
134,-0.0000590276,-0.0000590276,0.0000069420,-0.0224033968
135,0.0034427076,0.0034427076,0.0000069164,1.3090613090
136,0.0014324351,0.0014324351,0.0000065662,0.5590097835
137,0.0008124854,0.0008124854,0.0000063168,0.3232719230
138,0.0002936104,0.0002936104,0.0000061981,0.1179352456
139,0.0019297477,0.0019297477,0.0000061996,0.7750326356
140,0.0032813607,0.0032813607,0.0000059753,1.3423715091
141,0.0009711962,0.0009711962,0.0000058153,0.4027367167
142,-0.0008016771,-0.0008016771,0.0000057560,-0.3341494344
143,-0.0017818930,-0.0017818930,0.0000061170,-0.7204622743
144,0.0040042421,0.0040042421,0.0000067989,1.5356760939
145,0.0001453367,0.0001453367,0.0000065367,0.0568454825
146,0.0003264196,0.0003264196,0.0000065201,0.1278348453
147,0.0002818103,0.0002818103,0.0000064641,0.1108419491
148,0.0016594882,0.0016594882,0.0000064268,0.6546026022
149,-0.0057716809,-0.0057716809,0.0000061798,-2.3217569929
150,0.0012311173,0.0012311173,0.0000093532,0.4025496615
151,0.0025185999,0.0025185999,0.0000086495,0.8563751743
152,-0.0013491894,-0.0013491894,0.0000079285,-0.4791562583
153,0.0001463889,0.0001463889,0.0000082101,0.0510896325
154,-0.0007587026,-0.0007587026,0.0000079378,-0.2692915976
155,-0.0011826895,-0.0011826895,0.0000079896,-0.4184152418
156,-0.0000211370,-0.0000211370,0.0000081954,-0.0073834316
157,0.0009276339,0.0009276339,0.0000079722,0.3285398701
158,0.0005396680,0.0005396680,0.0000075575,0.1963083199
159,-0.0006539647,-0.0006539647,0.0000072900,-0.2422084338
160,-0.0013611318,-0.0013611318,0.0000073945,-0.5005483447
161,0.0010624212,0.0010624212,0.0000077481,0.3816801894
162,-0.0001433949,-0.0001433949,0.0000073466,-0.0529043144
163,0.0029925899,0.0029925899,0.0000072845,1.1087860680
164,0.0005072494,0.0005072494,0.0000068319,0.1940666128
165,0.0014105812,0.0014105812,0.0000066874,0.5454684031
166,0.0005961961,0.0005961961,0.0000064190,0.2353182162
167,0.0021001292,0.0021001292,0.0000063229,0.8351969959
168,-0.0017542452,-0.0017542452,0.0000060669,-0.7122091429
169,-0.0005070503,-0.0005070503,0.0000067428,-0.1952678373
170,0.0009419153,0.0009419153,0.0000068759,0.3592087205
171,0.0026224454,0.0026224454,0.0000066419,1.0175612473
172,-0.0023699550,-0.0023699550,0.0000063136,-0.9431939848
173,0.0017438387,0.0017438387,0.0000072429,0.6479625965
174,-0.0001775654,-0.0001775654,0.0000068392,-0.0678977607
175,-0.0017178579,-0.0017178579,0.0000068613,-0.6558173007
176,-0.0000659877,-0.0000659877,0.0000074297,-0.0242090956
177,-0.0018454762,-0.0018454762,0.0000073334,-0.6814831928
178,-0.0011471791,-0.0011471791,0.0000079035,-0.4080587371
179,-0.0023808115,-0.0023808115,0.0000081062,-0.8362094872
180,-0.0006068677,-0.0006068677,0.0000088516,-0.2039782024
181,0.0009831325,0.0009831325,0.0000087228,0.3328771103
182,0.0006073548,0.0006073548,0.0000081724,0.2124559937
183,0.0034820166,0.0034820166,0.0000077913,1.2474565884
184,0.0013802236,0.0013802236,0.0000072569,0.5123581677
185,0.0007982378,0.0007982378,0.0000068918,0.3040644824
186,-0.0027261724,-0.0027261724,0.0000066803,-1.0547608635
187,-0.0001089260,-0.0001089260,0.0000077545,-0.0391160047
188,-0.0056346650,-0.0056346650,0.0000076223,-2.0409215723
189,-0.0001007950,-0.0001007950,0.0000106220,-0.0309268082
190,-0.0075020984,-0.0075020984,0.0000100621,-2.3650412863
191,-0.0015862130,-0.0015862130,0.0000147466,-0.4130626700
192,0.0037675336,0.0037675336,0.0000142695,0.9973612812
193,-0.0009002358,-0.0009002358,0.0000124156,-0.2554889307
194,0.0029033586,0.0029033586,0.0000119110,0.8412528199
195,-0.0020283544,-0.0020283544,0.0000105438,-0.6246619690
196,-0.0052156724,-0.0052156724,0.0000108266,-1.5851290820
197,0.0004144723,0.0004144723,0.0000132789,0.1137402938
198,-0.0004655853,-0.0004655853,0.0000121446,-0.1336002077
199,0.0053587877,0.0053587877,0.0000114960,1.5804935336
200,0.0000606996,0.0000606996,0.0000103905,0.0188307295
201,-0.0040148957,-0.0040148957,0.0000098126,-1.2816907987
202,-0.0024784873,-0.0024784873,0.0000114043,-0.7339260073
203,0.0007895154,0.0007895154,0.0000118378,0.2294696025
204,0.0015208953,0.0015208953,0.0000108217,0.4623305050
205,-0.0025502641,-0.0025502641,0.0000098137,-0.8140814070
206,0.0089515315,0.0089515315,0.0000104658,2.7670136182
207,0.0025280755,0.0025280755,0.0000110065,0.7620176501
208,-0.0008488735,-0.0008488735,0.0000098364,-0.2706607332
209,-0.0020199408,-0.0020199408,0.0000096632,-0.6497980783
210,0.0002568751,0.0002568751,0.0000100456,0.0810463488
211,-0.0026412634,-0.0026412634,0.0000094607,-0.8587184477
212,0.0002155167,0.0002155167,0.0000102028,0.0674716653
213,-0.0011802087,-0.0011802087,0.0000096059,-0.3807946989
214,-0.0020575589,-0.0020575589,0.0000096004,-0.6640602967
215,-0.0030986982,-0.0030986982,0.0000100095,-0.9794270537
216,0.0001002701,0.0001002701,0.0000109686,0.0302758622
217,0.0008929397,0.0008929397,0.0000102906,0.2783570149
218,-0.0004936487,-0.0004936487,0.0000095004,-0.1601572754
219,-0.0013107579,-0.0013107579,0.0000092397,-0.4312148328
220,0.0028512637,0.0028512637,0.0000093381,0.9330582401
221,0.0001418918,0.0001418918,0.0000084726,0.0487472583
222,-0.0007383141,-0.0007383141,0.0000081614,-0.2584398812
223,0.0030551626,0.0030551626,0.0000081753,1.0685166148
224,-0.0005967921,-0.0005967921,0.0000075422,-0.2173072373
225,-0.0036102400,-0.0036102400,0.0000075926,-1.3102121824
226,0.0017122093,0.0017122093,0.0000091002,0.5675867114
227,0.0007406858,0.0007406858,0.0000083652,0.2560917573
228,-0.0011346858,-0.0011346858,0.0000079236,-0.4031006059
229,0.0017362668,0.0017362668,0.0000081189,0.6093527602
230,-0.0005231618,-0.0005231618,0.0000075570,-0.1903093604
231,-0.0020249162,-0.0020249162,0.0000075810,-0.7354347546
232,-0.0008755441,-0.0008755441,0.0000082064,-0.3056342727
233,0.0002307601,0.0002307601,0.0000082646,0.0802694844
234,-0.0020142175,-0.0020142175,0.0000079612,-0.7138661971
235,-0.0018934561,-0.0018934561,0.0000085382,-0.6479953942
236,0.0002290524,0.0002290524,0.0000089900,0.0763932441
237,0.0042666518,0.0042666518,0.0000085755,1.4569972605
238,0.0015985200,0.0015985200,0.0000079499,0.5669399094
239,0.0009012463,0.0009012463,0.0000074345,0.3305357042
240,0.0017730514,0.0017730514,0.0000071142,0.6647509069
241,-0.0002521169,-0.0002521169,0.0000067313,-0.0971743930
242,0.0023449366,0.0023449366,0.0000067902,0.8998899723
243,0.0032847895,0.0032847895,0.0000064356,1.2948335295
244,0.0013869895,0.0013869895,0.0000061764,0.5580902493
245,-0.0016007916,-0.0016007916,0.0000060015,-0.6534413811
246,-0.0002178424,-0.0002178424,0.0000066215,-0.0846571297
247,-0.0003700275,-0.0003700275,0.0000066867,-0.1430959547
248,-0.0003188422,-0.0003188422,0.0000067862,-0.1223942869
249,-0.0030324525,-0.0030324525,0.0000068564,-1.1580955109
250,-0.0041412433,-0.0041412433,0.0000080818,-1.4567209115
251,-0.0027533324,-0.0027533324,0.0000099043,-0.8748751900
252,0.0003823505,0.0003823505,0.0000106642,0.1170838349
253,0.0004054300,0.0004054300,0.0000099470,0.1285490684
254,0.0001136732,0.0001136732,0.0000093353,0.0372042946
255,-0.0003547956,-0.0003547956,0.0000089010,-0.1189214189
256,-0.0025267477,-0.0025267477,0.0000086780,-0.8577351890
257,0.0032252523,0.0032252523,0.0000094398,1.0497401180
258,-0.0013093922,-0.0013093922,0.0000085530,-0.4477234777
259,-0.0021564134,-0.0021564134,0.0000087387,-0.7294704755
260,-0.0027897718,-0.0027897718,0.0000092979,-0.9149057064
261,-0.0011534407,-0.0011534407,0.0000101430,-0.3621692540
262,0.0008229199,0.0008229199,0.0000100554,0.2595117654
263,0.0064659690,0.0064659690,0.0000093200,2.1179947782
264,0.0002330876,0.0002330876,0.0000090385,0.0775302568
265,-0.0008140304,-0.0008140304,0.0000086154,-0.2773345863
266,-0.0002881593,-0.0002881593,0.0000085951,-0.0982893970
267,-0.0000107822,-0.0000107822,0.0000083945,-0.0037214321
268,-0.0076995411,-0.0076995411,0.0000081384,-2.6989463500
269,-0.0008648799,-0.0008648799,0.0000130783,-0.2391549925
270,-0.0002987661,-0.0002987661,0.0000124668,-0.0846163771
271,-0.0022797340,-0.0022797340,0.0000117067,-0.6662954599
272,0.0031071580,0.0031071580,0.0000119906,0.8973118798
273,-0.0011528693,-0.0011528693,0.0000105988,-0.3541213936
274,0.0057335204,0.0057335204,0.0000104507,1.7735677866
275,-0.0011993551,-0.0011993551,0.0000096733,-0.3856211228
276,-0.0019224851,-0.0019224851,0.0000096672,-0.6183179157
277,0.0015352232,0.0015352232,0.0000099997,0.4854876972
278,-0.0018399089,-0.0018399089,0.0000091321,-0.6088506319
279,-0.0037572380,-0.0037572380,0.0000094876,-1.2198075372
280,-0.0003145414,-0.0003145414,0.0000109276,-0.0951515787
281,0.0016741312,0.0016741312,0.0000103974,0.5191919119
282,-0.0027920449,-0.0027920449,0.0000094381,-0.9088260974
283,0.0017656404,0.0017656404,0.0000102699,0.5509590549
284,-0.0014454683,-0.0014454683,0.0000093195,-0.4734927562
285,-0.0047422018,-0.0047422018,0.0000094673,-1.5412303883
286,0.0027247750,0.0027247750,0.0000116307,0.7989638529
287,0.0020713263,0.0020713263,0.0000103281,0.6445231961
288,0.0000200664,0.0000200664,0.0000093277,0.0065702552
289,0.0008532124,0.0008532124,0.0000089225,0.2856372882
290,0.0017488319,0.0017488319,0.0000083656,0.6046426196
291,0.0003261677,0.0003261677,0.0000077579,0.1171033604
292,-0.0010642526,-0.0010642526,0.0000075087,-0.3883856024
293,-0.0008997501,-0.0008997501,0.0000077306,-0.3236044407
294,-0.0012194548,-0.0012194548,0.0000078617,-0.4349186641
295,-0.0023767280,-0.0023767280,0.0000080987,-0.8351641135
296,-0.0001734873,-0.0001734873,0.0000088427,-0.0583411435
297,0.0027061640,0.0027061640,0.0000085694,0.9244404350
298,0.0011141926,0.0011141926,0.0000078580,0.3974707792
299,-0.0009263433,-0.0009263433,0.0000074290,-0.3398650290
300,0.0009264937,0.0009264937,0.0000076101,0.3358525752
301,-0.0012247236,-0.0012247236,0.0000072559,-0.4546666789
302,0.0021854412,0.0021854412,0.0000075724,0.7941865805
303,0.0013824592,0.0013824592,0.0000070740,0.5197819987
304,-0.0012285179,-0.0012285179,0.0000067407,-0.4731818562
305,0.0006015021,0.0006015021,0.0000071240,0.2253585067
306,0.0018824643,0.0018824643,0.0000069130,0.7159688636
307,-0.0007672687,-0.0007672687,0.0000065583,-0.2996076449
308,-0.0005557211,-0.0005557211,0.0000068005,-0.2131022255
309,0.0002666441,0.0002666441,0.0000069407,0.1012112865
310,-0.0011631311,-0.0011631311,0.0000068329,-0.4449639572
311,0.0003193088,0.0003193088,0.0000071797,0.1191675923
312,0.0010746688,0.0010746688,0.0000070223,0.4055420150
313,0.0026639873,0.0026639873,0.0000067419,1.0259854504
314,0.0023062188,0.0023062188,0.0000063937,0.9120589926
315,-0.0016546068,-0.0016546068,0.0000061175,-0.6689736674
316,-0.0008899949,-0.0008899949,0.0000067460,-0.3426613849
317,-0.0009335653,-0.0009335653,0.0000070048,-0.3527325537
318,0.0056338410,0.0056338410,0.0000072448,2.0931102203
319,0.0025222136,0.0025222136,0.0000072287,0.9381084774
320,-0.0011921106,-0.0011921106,0.0000067843,-0.4576818916
321,0.0044004023,0.0044004023,0.0000071482,1.6458614330
322,-0.0023938614,-0.0023938614,0.0000068677,-0.9134700179
323,-0.0004236442,-0.0004236442,0.0000077514,-0.1521638449
324,0.0005503638,0.0005503638,0.0000077156,0.1981367214
325,0.0002998239,0.0002998239,0.0000074205,0.1100648535
326,-0.0063867482,-0.0063867482,0.0000072303,-2.3752122999
327,0.0022118249,0.0022118249,0.0000109026,0.6698624640
328,-0.0005589938,-0.0005589938,0.0000097815,-0.1787328316
329,-0.0037532011,-0.0037532011,0.0000095047,-1.2173966018
330,0.0046633057,0.0046633057,0.0000109404,1.4098614607
331,0.0003006681,0.0003006681,0.0000098442,0.0958287992
332,0.0006223283,0.0006223283,0.0000092778,0.2043135571
333,-0.0015333040,-0.0015333040,0.0000087159,-0.5193634452
334,0.0006788670,0.0006788670,0.0000089788,0.2265564254
335,-0.0021959506,-0.0021959506,0.0000084516,-0.7553596055
336,-0.0012037530,-0.0012037530,0.0000090633,-0.3998463280
337,0.0031595850,0.0031595850,0.0000091387,1.0451727453
338,-0.0013236347,-0.0013236347,0.0000083119,-0.4591117305
339,0.0001106714,0.0001106714,0.0000085343,0.0378835781
340,0.0008232382,0.0008232382,0.0000082224,0.2870946121
341,-0.0062011985,-0.0062011985,0.0000077869,-2.2222517866
342,-0.0069925284,-0.0069925284,0.0000112721,-2.0827285499
343,0.0006507171,0.0006507171,0.0000153737,0.1659599395
344,-0.0094968874,-0.0094968874,0.0000138337,-2.5533639374
345,0.0064615307,0.0064615307,0.0000208004,1.4167709647
346,-0.0046683955,-0.0046683955,0.0000178210,-1.1058648405
347,0.0023553699,0.0023553699,0.0000192083,0.5374214097
348,-0.0012841729,-0.0012841729,0.0000165721,-0.3154527883
349,0.0061833625,0.0061833625,0.0000156915,1.5609608054
350,-0.0062457354,-0.0062457354,0.0000138001,-1.6812883874
351,-0.0022935653,-0.0022935653,0.0000170008,-0.5562589143
352,0.0030150433,0.0030150433,0.0000166593,0.7386939923
353,0.0032540712,0.0032540712,0.0000143844,0.8579892959
354,-0.0009855977,-0.0009855977,0.0000125220,-0.2785242717
355,-0.0031913697,-0.0031913697,0.0000120410,-0.9196982212
356,-0.0000361861,-0.0000361861,0.0000128515,-0.0100940125
357,0.0006287974,0.0006287974,0.0000119368,0.1819977879
358,-0.0048154147,-0.0048154147,0.0000109488,-1.4552908794
359,0.0000536796,0.0000536796,0.0000130593,0.0148542092
360,-0.0042562024,-0.0042562024,0.0000120811,-1.2245266994
361,0.0021553909,0.0021553909,0.0000136541,0.5833033446
362,-0.0007007543,-0.0007007543,0.0000120418,-0.2019387410
363,0.0025051908,0.0025051908,0.0000115033,0.7386353218
364,-0.0022147865,-0.0022147865,0.0000102419,-0.6920562370
365,-0.0039200643,-0.0039200643,0.0000106597,-1.2006626484
366,0.0022682889,0.0022682889,0.0000121089,0.6518462933
367,-0.0006316510,-0.0006316510,0.0000107605,-0.1925573249
368,-0.0035562795,-0.0035562795,0.0000103736,-1.1041570656
369,-0.0012981215,-0.0012981215,0.0000115953,-0.3812182022
370,-0.0042132382,-0.0042132382,0.0000113823,-1.2488217780
371,0.0004072776,0.0004072776,0.0000129840,0.1130280784
372,0.0008886686,0.0008886686,0.0000118979,0.2576345007
373,0.0012307077,0.0012307077,0.0000108462,0.3736939952
374,0.0003586357,0.0003586357,0.0000098897,0.1140413175
375,0.0069675772,0.0069675772,0.0000092999,2.2847731583
376,-0.0011763310,-0.0011763310,0.0000092074,-0.3876680564
377,0.0010922036,0.0010922036,0.0000092525,0.3590666367
378,0.0051709717,0.0051709717,0.0000085920,1.7641064126
379,0.0000378404,0.0000378404,0.0000081244,0.0132757660
380,-0.0007753616,-0.0007753616,0.0000078951,-0.2759476641
381,0.0006515415,0.0006515415,0.0000079587,0.2309513490
382,0.0017124976,0.0017124976,0.0000076023,0.6210930644
383,0.0010904436,0.0010904436,0.0000071364,0.4081901504
384,0.0011350938,0.0011350938,0.0000068341,0.4342005668
385,-0.0004053185,-0.0004053185,0.0000065767,-0.1580494065
386,-0.0002284349,-0.0002284349,0.0000067023,-0.0882366893
387,-0.0018515060,-0.0018515060,0.0000067587,-0.7121841010
388,-0.0003122671,-0.0003122671,0.0000073977,-0.1148096831
389,-0.0073311504,-0.0073311504,0.0000073778,-2.6990296334
390,-0.0026910093,-0.0026910093,0.0000119497,-0.7784591687
391,0.0054531371,0.0054531371,0.0000124496,1.5454988915
392,-0.0006790601,-0.0006790601,0.0000111449,-0.2034088752
393,0.0004649080,0.0004649080,0.0000107229,0.1419744788
394,-0.0002303157,-0.0002303157,0.0000099731,-0.0729305260
395,-0.0015959802,-0.0015959802,0.0000095525,-0.5163798849
396,0.0079038190,0.0079038190,0.0000097402,2.5325155657
397,0.0019143217,0.0019143217,0.0000099360,0.6073084269
398,-0.0038805156,-0.0038805156,0.0000090254,-1.2916835521
399,0.0034764107,0.0034764107,0.0000105903,1.0682594880
400,0.0002027294,0.0002027294,0.0000094747,0.0658618256
401,-0.0024828984,-0.0024828984,0.0000089932,-0.8279474737
402,0.0046648229,0.0046648229,0.0000096970,1.4980151111
403,-0.0003379571,-0.0003379571,0.0000088779,-0.1134246261
404,0.0010893300,0.0010893300,0.0000086526,0.3703278703
405,-0.0016906846,-0.0016906846,0.0000080936,-0.5942806838
406,-0.0001307000,-0.0001307000,0.0000085035,-0.0448205843
407,0.0007802665,0.0007802665,0.0000082669,0.2713758349
408,-0.0002916661,-0.0002916661,0.0000078330,-0.1042131581
409,0.0012740361,0.0012740361,0.0000077439,0.4578270880
410,0.0000684960,0.0000684960,0.0000073089,0.0253359776
411,-0.0022299341,-0.0022299341,0.0000071943,-0.8313752281
412,-0.0023013013,-0.0023013013,0.0000079619,-0.8155761586
413,-0.0022887627,-0.0022887627,0.0000086818,-0.7767766459
414,-0.0015699860,-0.0015699860,0.0000093158,-0.5143813006
415,0.0025430954,0.0025430954,0.0000095209,0.8241838336
416,-0.0016029126,-0.0016029126,0.0000086314,-0.5455929252
417,0.0028552874,0.0028552874,0.0000089361,0.9551594529
418,-0.0028398721,-0.0028398721,0.0000081498,-0.9947774506
419,-0.0019425147,-0.0019425147,0.0000091413,-0.6424819324
420,-0.0021966334,-0.0021966334,0.0000095461,-0.7109604686
421,-0.0011244622,-0.0011244622,0.0000100341,-0.3549814432
422,-0.0048728725,-0.0048728725,0.0000099484,-1.5449288291
423,0.0000021246,0.0000021246,0.0000121803,0.0006087622
424,0.0023403511,0.0023403511,0.0000113525,0.6945993212
425,-0.0011567146,-0.0011567146,0.0000101350,-0.3633412947
426,0.0007142177,0.0007142177,0.0000100499,0.2252943121
427,-0.0003879219,-0.0003879219,0.0000093415,-0.1269218578
428,-0.0069085963,-0.0069085963,0.0000090663,-2.2944235766
429,0.0015163643,0.0015163643,0.0000131730,0.4177924616
430,-0.0002802396,-0.0002802396,0.0000117617,-0.0817136601
431,0.0011730828,0.0011730828,0.0000110975,0.3521410487
432,0.0090923504,0.0090923504,0.0000101109,2.8594460387
433,-0.0010046584,-0.0010046584,0.0000108366,-0.3051906735
434,0.0011129499,0.0011129499,0.0000105923,0.3419636056
435,-0.0012055554,-0.0012055554,0.0000097032,-0.3870168311
436,0.0015998815,0.0015998815,0.0000096959,0.5137992722
437,0.0011818976,0.0011818976,0.0000088713,0.3968126118
438,-0.0002346754,-0.0002346754,0.0000082584,-0.0816616944
439,-0.0010050071,-0.0010050071,0.0000080899,-0.3533443746
440,-0.0023624477,-0.0023624477,0.0000082127,-0.8243620009
441,0.0043655708,0.0043655708,0.0000089369,1.4603167738
442,0.0000886703,0.0000886703,0.0000082442,0.0308818521
